name,artists
Short Kings Anthem,Tiny Meat Gang
Pay Attention,bbno$
tokyo glo remix,LMC
okay,So Loki
lavish,hollow
G-Shit,Spock
ST. PERCY,BROCKHAMPTON
1 Thot 2 Thot Red Thot Blue Thot,Yung Gravy
cheesy,Dilip
what i do,Lentra
Magic,Yung Gravy
shining on my ex,Yung Gravy
slop,bbno$
Boomin,bbno$
moneytalk,Juelz
Oh Darling,Soudiere
Midsummer Madness,AUGUST 08
Hopscotch (feat. Barney Bones & Rich Brian),Rich Brian
No Flex,Tiny Meat Gang
BabyWipe,Ski Mask The Slump God
Club Poor,Tiny Meat Gang
Pina Colada,Yung Pinch
Faucet Failure,Ski Mask The Slump God
roo doo,Lentra
Drip,Spock
Foot Fungus,Ski Mask The Slump God
Already Dead,Lil Boom
Dead to Me,Getter
stucco,Y2K
Super Xan,Tiny Meat Gang
BOY BYE,BROCKHAMPTON
more concrete,So Loki
Moving On,Lil Skies
Stinky Money,Tiny Meat Gang
Gravy Train,Yung Gravy
Endless Nightmare,Iamjakehill
Walk Man,Tiny Meat Gang
IFYB,Tiny Meat Gang
Whip A Tesla,bbno$
doubles,Downtime
Lalala,bbno$
Deadbeat,Tiny Meat Gang
Mr. Clean,Yung Gravy
